graphname,num_nodes,num_edges,degree1,degree2,degree3,closeness,clustering,pagerank,uniform,random,dynamic,saturation
Lin.mtx,256000.0,1011200.0,13.0,12,12.0,13.0,13.0,16.0,12.0,16.2,16.0,12
HTC_336_9129.mtx,226340.0,554881.0,7397.0,7396,7394.0,7397.0,7397.0,7397.0,7401.0,7394.6,7401.0,7394
af_shell6.mtx,504855.0,9046865.0,55.0,60,60.0,65.0,55.0,70.0,60.0,60.0,50.0,50
com-DBLP.mtx,317080.0,1049866.0,344.0,344,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344
filter3D.mtx,106437.0,1406808.0,112.0,112,112.0,112.0,112.0,113.0,112.0,112.2,112.0,112
rgg_n_2_18_s0.mtx,262141.0,1547283.0,34.0,33,34.0,35.0,37.0,34.0,36.0,35.2,34.0,34
cfd2.mtx,123440.0,1605669.0,52.0,52,52.0,54.0,52.0,66.0,50.0,57.8,43.0,39
gearbox.mtx,153746.0,4617075.0,132.0,138,144.0,157.0,135.0,144.0,138.0,133.0,118.0,127
2cubes_sphere.mtx,101492.0,874378.0,41.0,42,44.0,42.0,41.0,42.0,46.0,44.0,40.0,36
CurlCurl_1.mtx,226451.0,1349261.0,25.0,26,25.0,24.0,26.0,29.0,25.0,29.4,23.0,22
bundle_adj.mtx,513351.0,10360701.0,12588.0,12588,12588.0,12588.0,12588.0,12588.0,12588.0,12588.0,12588.0,12588
il2010.mtx,451554.0,1082232.0,91.0,91,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91
ms2010.mtx,171778.0,419990.0,63.0,63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63
auto.mtx,448695.0,3314611.0,42.0,41,39.0,40.0,41.0,43.0,45.0,42.0,39.0,38
transient.mtx,178866.0,961790.0,60423.0,60423,60423.0,60423.0,60423.0,60423.0,60423.0,60423.0,60423.0,60423
ks2010.mtx,238600.0,560899.0,55.0,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55
thermomech_TC.mtx,102158.0,406858.0,15.0,14,15.0,14.0,15.0,15.0,15.0,15.0,12.0,13
fcondp2.mtx,201822.0,5748069.0,132.0,120,126.0,114.0,132.0,144.0,135.0,117.0,114.0,102
ut2010.mtx,115406.0,286033.0,197.0,197,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197
loc-Gowalla.mtx,196591.0,950327.0,14731.0,14731,14731.0,14731.0,14731.0,14731.0,14731.0,14731.0,14731.0,14731
largebasis.mtx,440020.0,5560100.0,22.0,22,22.0,24.0,22.0,30.0,23.0,29.2,22.0,23
delaunay_n17.mtx,131072.0,393176.0,18.0,18,18.0,18.0,18.0,18.0,20.0,19.4,18.0,18
troll.mtx,213453.0,6099282.0,393.0,387,387.0,387.0,393.0,396.0,387.0,387.0,387.0,387
kron_g500-logn17.mtx,107909.0,5114375.0,29936.0,29936,29936.0,29936.0,29936.0,29936.0,29936.0,29936.0,29936.0,29936
power9.mtx,155376.0,2512300.0,3744.0,3744,3744.0,3744.0,3744.0,3744.0,3744.0,3744.0,3744.0,3744
para-4.mtx,153226.0,5326228.0,5776.0,5776,5776.0,5776.0,5776.0,5776.0,5776.0,5776.0,5776.0,5776
