graphname,num_nodes,num_edges,degree1,degree2,degree3,closeness,clustering,pagerank,uniform,random,dynamic,saturation
fem_hifreq_circuit.mtx,491100.0,20239237.0,26,28.0,28.0,28.0,26.0,28.0,28.0,28.4,26.0,25
FEM_3D_thermal2.mtx,147900.0,3489300.0,8,10.0,10.0,14.0,8.0,14.0,8.0,17.0,12.0,10
x104.mtx,108384.0,5138004.0,66,66.0,66.0,66.0,66.0,66.0,78.0,61.6,66.0,60
lung2.mtx,109460.0,492564.0,6,6.0,6.0,4.0,6.0,8.0,4.0,7.8,4.0,4
ky2010.mtx,161672.0,393889.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5
tmt_sym.mtx,726713.0,2903837.0,6,6.0,7.0,7.0,6.0,7.0,5.0,7.0,6.0,4
ne2010.mtx,193352.0,456927.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5
citationCiteseer.mtx,268495.0,1156647.0,13,14.0,14.0,14.0,16.0,13.0,15.0,17.4,14.0,13
in2010.mtx,267071.0,640858.0,6,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,5
ecology2.mtx,999999.0,2997995.0,2,4.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,2
pkustk14.mtx,151926.0,7494215.0,78,78.0,81.0,84.0,78.0,81.0,96.0,78.4,78.0,70
va2010.mtx,285762.0,701064.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5
Baumann.mtx,112211.0,760631.0,2,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2
CoupCons3D.mtx,416800.0,22322336.0,40,40.0,40.0,44.0,40.0,44.0,36.0,36.2,36.0,30
dielFilterV2clx.mtx,607232.0,12958252.0,27,28.0,28.0,28.0,28.0,28.0,29.0,29.2,28.0,26
3Dspectralwave.mtx,680943.0,17165766.0,20,21.0,21.0,23.0,20.0,23.0,24.0,29.6,21.0,19
HTC_336_4438.mtx,226340.0,565431.0,4,4.0,4.0,5.0,4.0,4.0,4.0,6.6,4.0,4
boyd2.mtx,466316.0,890091.0,3,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2
F1.mtx,343791.0,13590452.0,51,51.0,51.0,51.0,51.0,50.0,54.0,47.4,51.0,42
144.mtx,144649.0,1074393.0,11,12.0,12.0,12.0,12.0,12.0,12.0,13.0,11.0,10
apache2.mtx,715176.0,2766523.0,3,3.0,3.0,5.0,3.0,6.0,3.0,6.0,4.0,3
fe_ocean.mtx,143437.0,409593.0,5,5.0,6.0,4.0,5.0,6.0,4.0,6.0,4.0,3
mn2010.mtx,259777.0,613551.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.2,6.0,5
Emilia_923.mtx,923136.0,20964171.0,36,36.0,36.0,33.0,33.0,42.0,33.0,29.0,33.0,24
luxembourg_osm.mtx,114599.0,119666.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3
coPapersDBLP.mtx,540486.0,15245729.0,337,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337
shipsec8.mtx,114919.0,3384159.0,48,54.0,54.0,48.0,48.0,48.0,48.0,40.8,48.0,39
wa2010.mtx,195574.0,473716.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.2,6.0,5
dblp-2010.mtx,300647.0,807700.0,75,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75
wv2010.mtx,135218.0,331461.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5
thermomech_dM.mtx,204316.0,813716.0,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6
la2010.mtx,204447.0,490317.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.4,6.0,5
shipsec1.mtx,80850.0,3977139.0,47,46.0,45.0,45.0,47.0,48.0,48.0,39.8,43.0,36
ca2010.mtx,710145.0,1744683.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.6,6.0,5
SiO2.mtx,155331.0,5719417.0,2373,2373.0,2373.0,2373.0,2373.0,2373.0,2373.0,2373.0,2373.0,2373
598a.mtx,110971.0,741934.0,11,11.0,11.0,10.0,11.0,11.0,12.0,12.0,10.0,9
cage13.mtx,445315.0,7479343.0,15,14.0,15.0,16.0,16.0,16.0,16.0,15.4,14.0,11
parabolic_fem.mtx,525825.0,2100225.0,7,6.0,7.0,6.0,7.0,7.0,6.0,7.0,3.0,3
Si87H76.mtx,240369.0,5451000.0,175,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175
az2010.mtx,241666.0,598047.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.8,6.0,5
Ge87H76.mtx,112985.0,4002590.0,223,223.0,223.0,223.0,224.0,223.0,224.0,224.0,223.0,223
com-Amazon.mtx,334863.0,925872.0,7,8.0,8.0,8.0,9.0,7.0,9.0,10.0,8.0,7
G_n_pin_pout.mtx,99995.0,501198.0,8,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,6
cop20k_A.mtx,99843.0,1362087.0,19,19.0,19.0,19.0,20.0,19.0,20.0,20.0,18.0,17
mt2010.mtx,132288.0,319334.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.6,6.0,5
c-big.mtx,345241.0,1343126.0,4,4.0,4.0,2.0,4.0,4.0,2.0,7.8,4.0,2
ga2010.mtx,291086.0,709028.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.2,6.0,5
TEM152078.mtx,152078.0,3305702.0,26,28.0,28.0,28.0,26.0,28.0,30.0,28.8,28.0,25
fl2010.mtx,484481.0,1173147.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.6,6.0,5
ship_003.mtx,121728.0,4103881.0,54,54.0,48.0,54.0,54.0,54.0,54.0,46.2,48.0,41
PFlow_742.mtx,290885.0,18940627.0,28,30.0,30.0,32.0,28.0,30.0,27.0,31.6,28.0,24
